GCD Test
Bias: 5000.000000
CV_W30_1030_Chip20
Date/Time: 4/4/2019 3:00:33 PM
Sensor Name: W30_1030_Chip20
Type: P
Annealing Status: Irradiated
Environment: -20C
Tester: Vuong

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :1.000


BiasVoltage	Total Current_Avg	Total Current_0	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_G_freq1000.0	LCR_G_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
   -1.0000	-2.7160E-7	-2.7160E-7	2.073E-11	1.332E-11	3.946E-7	4.224E-7	  -19.9906	    8.4001	    0.1588	  -60.2308	
   -2.0000	-4.6100E-7	-4.6100E-7	2.379E-11	1.336E-11	3.822E-7	4.157E-7	  -19.9982	    8.3944	    0.1575	  -60.2952	
   -3.0000	-5.3760E-7	-5.3760E-7	2.571E-11	1.339E-11	3.718E-7	4.133E-7	  -20.0059	    8.4008	    0.1654	  -59.9146	
   -4.0000	-6.0570E-7	-6.0570E-7	2.701E-11	1.341E-11	3.613E-7	4.099E-7	  -20.0160	    8.3970	    0.1505	  -60.6405	
   -5.0000	-6.6090E-7	-6.6090E-7	2.823E-11	1.342E-11	3.545E-7	4.067E-7	  -20.0109	    8.3808	    0.1550	  -60.4268	
   -6.0000	-7.1430E-7	-7.1430E-7	2.908E-11	1.344E-11	3.461E-7	4.056E-7	  -20.0059	    8.3291	    0.1607	  -60.1764	
   -7.0000	-7.6120E-7	-7.6120E-7	2.982E-11	1.346E-11	3.390E-7	4.051E-7	  -20.0008	    8.3858	    0.1603	  -60.1619	
   -8.0000	-8.0540E-7	-8.0540E-7	3.060E-11	1.347E-11	3.338E-7	3.996E-7	  -19.9830	    8.3918	    0.1619	  -60.0833	
   -9.0000	-8.4490E-7	-8.4490E-7	3.112E-11	1.349E-11	3.273E-7	3.980E-7	  -19.9677	    8.3953	    0.1490	  -60.7222	
  -10.0000	-8.8570E-7	-8.8570E-7	3.158E-11	1.350E-11	3.214E-7	3.969E-7	  -19.9830	    8.4219	    0.1597	  -60.1735	
  -15.0000	-1.0430E-6	-1.0430E-6	3.311E-11	1.355E-11	2.952E-7	3.875E-7	  -19.9982	    8.3844	    0.1486	  -60.7442	
  -20.0000	-1.1880E-6	-1.1880E-6	3.402E-11	1.359E-11	2.749E-7	3.789E-7	  -20.0109	    8.4033	    0.1581	  -60.2598	
  -25.0000	-1.3160E-6	-1.3160E-6	3.453E-11	1.363E-11	2.581E-7	3.735E-7	  -20.0262	    8.4290	    0.1591	  -60.2004	
  -30.0000	-1.4570E-6	-1.4570E-6	3.484E-11	1.366E-11	2.438E-7	3.677E-7	  -20.0211	    8.3951	    0.1562	  -60.3568	
  -35.0000	-1.5790E-6	-1.5790E-6	3.508E-11	1.369E-11	2.321E-7	3.635E-7	  -20.0160	    8.3606	    0.1562	  -60.3749	
  -40.0000	-1.6780E-6	-1.6780E-6	3.496E-11	1.371E-11	2.205E-7	3.587E-7	  -19.9982	    8.3469	    0.1543	  -60.4758	
  -45.0000	-1.7830E-6	-1.7830E-6	3.505E-11	1.374E-11	2.114E-7	3.553E-7	  -19.9830	    8.3633	    0.1572	  -60.3269	
  -50.0000	-1.8830E-6	-1.8830E-6	3.486E-11	1.375E-11	2.023E-7	3.504E-7	  -19.9804	    8.3728	    0.1565	  -60.3529	
  -55.0000	-1.9690E-6	-1.9690E-6	3.472E-11	1.377E-11	1.945E-7	3.460E-7	  -19.9702	    8.3737	    0.1477	  -60.7987	
  -60.0000	-2.0510E-6	-2.0510E-6	3.449E-11	1.379E-11	1.872E-7	3.418E-7	  -19.9753	    8.3877	    0.1553	  -60.4075	
  -65.0000	-2.1310E-6	-2.1310E-6	3.442E-11	1.379E-11	1.810E-7	3.361E-7	  -19.9982	    8.3614	    0.1540	  -60.4840	
  -70.0000	-2.2090E-6	-2.2090E-6	3.401E-11	1.381E-11	1.743E-7	3.340E-7	  -19.9957	    8.3963	    0.1664	  -59.8728	
  -75.0000	-2.2900E-6	-2.2900E-6	3.385E-11	1.382E-11	1.689E-7	3.281E-7	  -20.0033	    8.3912	    0.1486	  -60.7407	
  -80.0000	-2.3590E-6	-2.3590E-6	3.363E-11	1.383E-11	1.637E-7	3.257E-7	  -20.0109	    8.3784	    0.1499	  -60.6824	
  -85.0000	-2.4420E-6	-2.4420E-6	3.336E-11	1.384E-11	1.587E-7	3.215E-7	  -20.0160	    8.3737	    0.1581	  -60.2752	
  -90.0000	-2.5080E-6	-2.5080E-6	3.315E-11	1.385E-11	1.544E-7	3.187E-7	  -20.0084	    8.3704	    0.1521	  -60.5743	
  -95.0000	-2.5780E-6	-2.5780E-6	3.287E-11	1.386E-11	1.501E-7	3.164E-7	  -19.9931	    8.3579	    0.1591	  -60.2375	
 -100.0000	-2.6490E-6	-2.6490E-6	3.266E-11	1.387E-11	1.462E-7	3.127E-7	  -19.9931	    8.3838	    0.1493	  -60.7120	
 -110.0000	-2.7830E-6	-2.7830E-6	3.218E-11	1.389E-11	1.389E-7	3.069E-7	  -19.9906	    8.3669	    0.1664	  -59.8882	
 -120.0000	-2.8330E-6	-2.8330E-6	3.173E-11	1.390E-11	1.323E-7	2.996E-7	  -19.9957	    8.3875	    0.1553	  -60.4076	
 -130.0000	-2.9670E-6	-2.9670E-6	3.126E-11	1.391E-11	1.264E-7	2.943E-7	  -20.0084	    8.3615	    0.1657	  -59.9204	
 -140.0000	-3.0970E-6	-3.0970E-6	3.085E-11	1.391E-11	1.212E-7	2.884E-7	  -20.0084	    8.3538	    0.1528	  -60.5512	
 -150.0000	-3.2160E-6	-3.2160E-6	3.043E-11	1.392E-11	1.164E-7	2.836E-7	  -20.0211	    8.3453	    0.1471	  -60.8462	
 -160.0000	-3.3100E-6	-3.3100E-6	3.002E-11	1.392E-11	1.120E-7	2.779E-7	  -20.0262	    8.3325	    0.1531	  -60.5464	
 -170.0000	-3.4180E-6	-3.4180E-6	2.960E-11	1.393E-11	1.079E-7	2.733E-7	  -20.0008	    8.3769	    0.1553	  -60.4131	
 -180.0000	-3.5660E-6	-3.5660E-6	2.926E-11	1.393E-11	1.043E-7	2.693E-7	  -20.0008	    8.3543	    0.1546	  -60.4562	
 -190.0000	-3.6630E-6	-3.6630E-6	2.890E-11	1.393E-11	1.010E-7	2.646E-7	  -19.9830	    8.2988	    0.1537	  -60.5323	
 -200.0000	-3.7820E-6	-3.7820E-6	2.857E-11	1.394E-11	9.771E-8	2.602E-7	  -19.9804	    8.2855	    0.1483	  -60.8118	
 -210.0000	-3.8610E-6	-3.8610E-6	2.818E-11	1.393E-11	9.471E-8	2.550E-7	  -19.9880	    8.2988	    0.1521	  -60.6116	
 -220.0000	-3.9610E-6	-3.9610E-6	2.789E-11	1.393E-11	9.192E-8	2.504E-7	  -19.9880	    8.3367	    0.1550	  -60.4497	
 -230.0000	-4.0600E-6	-4.0600E-6	2.758E-11	1.392E-11	8.947E-8	2.458E-7	  -20.0008	    8.3287	    0.1616	  -60.1313	
 -240.0000	-4.1580E-6	-4.1580E-6	2.726E-11	1.392E-11	8.690E-8	2.421E-7	  -20.0160	    8.2975	    0.1477	  -60.8382	
 -250.0000	-4.2840E-6	-4.2840E-6	2.700E-11	1.392E-11	8.476E-8	2.383E-7	  -20.0084	    8.3286	    0.1518	  -60.6120	
 -260.0000	-4.3890E-6	-4.3890E-6	2.672E-11	1.391E-11	8.254E-8	2.342E-7	  -20.0059	    8.3167	    0.1404	  -61.2133	
 -270.0000	-4.4740E-6	-4.4740E-6	2.644E-11	1.392E-11	8.054E-8	2.312E-7	  -19.9880	    8.2518	    0.1483	  -60.8293	
 -280.0000	-4.5810E-6	-4.5810E-6	2.615E-11	1.390E-11	7.860E-8	2.263E-7	  -19.9880	    8.2695	    0.1512	  -60.6747	
 -290.0000	-4.6610E-6	-4.6610E-6	2.588E-11	1.390E-11	7.673E-8	2.226E-7	  -19.9906	    8.3163	    0.1616	  -60.1378	
 -300.0000	-4.7560E-6	-4.7560E-6	2.563E-11	1.389E-11	7.492E-8	2.193E-7	  -19.9931	    8.3038	    0.1584	  -60.2964	
 -310.0000	-4.8340E-6	-4.8340E-6	2.538E-11	1.388E-11	7.332E-8	2.142E-7	  -20.0109	    8.3027	    0.1521	  -60.6095	
 -320.0000	-4.9380E-6	-4.9380E-6	2.514E-11	1.388E-11	7.178E-8	2.113E-7	  -20.0135	    8.3130	    0.1619	  -60.1244	
 -330.0000	-5.0030E-6	-5.0030E-6	2.491E-11	1.387E-11	7.016E-8	2.076E-7	  -20.0084	    8.3187	    0.1546	  -60.4747	
 -340.0000	-5.1410E-6	-5.1410E-6	2.469E-11	1.386E-11	6.876E-8	2.041E-7	  -20.0008	    8.3314	    0.1584	  -60.2819	
 -350.0000	-5.2310E-6	-5.2310E-6	2.447E-11	1.385E-11	6.743E-8	2.014E-7	  -19.9931	    8.2773	    0.1521	  -60.6228	
 -360.0000	-5.2950E-6	-5.2950E-6	2.423E-11	1.384E-11	6.597E-8	1.976E-7	  -20.0033	    8.2811	    0.1575	  -60.3544	
 -370.0000	-5.3930E-6	-5.3930E-6	2.401E-11	1.383E-11	6.479E-8	1.941E-7	  -20.0033	    8.2537	    0.1502	  -60.7311	
 -380.0000	-5.4620E-6	-5.4620E-6	2.380E-11	1.382E-11	6.351E-8	1.902E-7	  -20.0059	    8.2615	    0.1537	  -60.5517	
 -390.0000	-5.5610E-6	-5.5610E-6	2.360E-11	1.381E-11	6.229E-8	1.869E-7	  -19.9931	    8.2854	    0.1502	  -60.7146	
 -400.0000	-5.6830E-6	-5.6830E-6	2.338E-11	1.380E-11	6.115E-8	1.843E-7	  -20.0084	    8.2206	    0.1509	  -60.7162	
 -410.0000	-5.7440E-6	-5.7440E-6	2.318E-11	1.379E-11	5.997E-8	1.809E-7	  -20.0059	    8.2518	    0.1531	  -60.5884	
 -420.0000	-5.8300E-6	-5.8300E-6	2.301E-11	1.378E-11	5.889E-8	1.772E-7	  -20.0033	    8.2407	    0.1575	  -60.3754	
 -430.0000	-5.8970E-6	-5.8970E-6	2.283E-11	1.377E-11	5.787E-8	1.743E-7	  -20.0059	    8.2198	    0.1613	  -60.2033	
 -440.0000	-6.0170E-6	-6.0170E-6	2.264E-11	1.376E-11	5.677E-8	1.716E-7	  -20.0033	    8.2051	    0.1499	  -60.7725	
 -450.0000	-6.1040E-6	-6.1040E-6	2.245E-11	1.375E-11	5.577E-8	1.680E-7	  -19.9906	    8.2643	    0.1578	  -60.3477	
 -460.0000	-6.1880E-6	-6.1880E-6	2.228E-11	1.373E-11	5.484E-8	1.647E-7	  -19.9982	    8.2516	    0.1553	  -60.4784	
 -470.0000	-6.2800E-6	-6.2800E-6	2.208E-11	1.373E-11	5.381E-8	1.622E-7	  -19.9855	    8.2753	    0.1664	  -59.9362	
 -480.0000	-6.3220E-6	-6.3220E-6	2.193E-11	1.371E-11	5.291E-8	1.584E-7	  -19.9906	    8.2293	    0.1521	  -60.6477	
 -490.0000	-6.4220E-6	-6.4220E-6	2.174E-11	1.370E-11	5.200E-8	1.555E-7	  -20.0135	    8.2387	    0.1496	  -60.7712	
 -500.0000	-6.4980E-6	-6.4980E-6	2.156E-11	1.369E-11	5.103E-8	1.524E-7	  -20.0059	    8.2672	    0.1546	  -60.5016	
 -510.0000	-6.5720E-6	-6.5720E-6	2.141E-11	1.368E-11	5.017E-8	1.492E-7	  -20.0109	    8.2442	    0.1591	  -60.2968	
 -520.0000	-6.6660E-6	-6.6660E-6	2.123E-11	1.366E-11	4.931E-8	1.463E-7	  -20.0211	    8.2271	    0.1550	  -60.5068	
 -530.0000	-6.7620E-6	-6.7620E-6	2.107E-11	1.365E-11	4.842E-8	1.433E-7	  -19.9982	    8.2600	    0.1578	  -60.3499	
 -540.0000	-6.8450E-6	-6.8450E-6	2.090E-11	1.364E-11	4.756E-8	1.406E-7	  -19.9982	    8.1990	    0.1467	  -60.9385	
 -550.0000	-6.9190E-6	-6.9190E-6	2.075E-11	1.363E-11	4.674E-8	1.375E-7	  -19.9880	    8.1829	    0.1553	  -60.5142	
 -560.0000	-6.9980E-6	-6.9980E-6	2.059E-11	1.362E-11	4.592E-8	1.347E-7	  -19.9804	    8.1838	    0.1515	  -60.7033	
 -570.0000	-7.0400E-6	-7.0400E-6	2.041E-11	1.361E-11	4.504E-8	1.313E-7	  -19.9880	    8.2129	    0.1565	  -60.4363	
 -580.0000	-7.1560E-6	-7.1560E-6	2.025E-11	1.359E-11	4.421E-8	1.280E-7	  -19.9931	    8.2152	    0.1474	  -60.8973	
 -590.0000	-7.1800E-6	-7.1800E-6	2.009E-11	1.358E-11	4.343E-8	1.250E-7	  -20.0033	    8.1928	    0.1499	  -60.7788	
 -600.0000	-7.2600E-6	-7.2600E-6	1.995E-11	1.357E-11	4.265E-8	1.226E-7	  -20.0059	    8.1997	    0.1474	  -60.9053	
 -610.0000	-7.3400E-6	-7.3400E-6	1.979E-11	1.356E-11	4.179E-8	1.194E-7	  -20.0109	    8.2161	    0.1581	  -60.3575	
 -620.0000	-7.4000E-6	-7.4000E-6	1.962E-11	1.355E-11	4.104E-8	1.166E-7	  -20.0262	    8.2072	    0.1607	  -60.2401	
 -630.0000	-7.5400E-6	-7.5400E-6	1.947E-11	1.354E-11	4.023E-8	1.138E-7	  -20.0237	    8.2081	    0.1486	  -60.8357	
 -640.0000	-7.5900E-6	-7.5900E-6	1.932E-11	1.353E-11	3.950E-8	1.111E-7	  -20.0008	    8.2330	    0.1600	  -60.2570	
 -650.0000	-7.6800E-6	-7.6800E-6	1.919E-11	1.352E-11	3.873E-8	1.080E-7	  -19.9957	    8.2362	    0.1559	  -60.4553	
 -660.0000	-7.7800E-6	-7.7800E-6	1.904E-11	1.351E-11	3.800E-8	1.054E-7	  -19.9906	    8.1899	    0.1610	  -60.2340	
 -670.0000	-7.8500E-6	-7.8500E-6	1.888E-11	1.350E-11	3.722E-8	1.028E-7	  -19.9957	    8.2145	    0.1569	  -60.4200	
 -680.0000	-7.8900E-6	-7.8900E-6	1.874E-11	1.349E-11	3.649E-8	9.993E-8	  -19.9779	    8.2335	    0.1452	  -61.0033	
 -690.0000	-7.9900E-6	-7.9900E-6	1.859E-11	1.348E-11	3.580E-8	9.699E-8	  -19.9753	    8.2182	    0.1581	  -60.3564	
 -700.0000	-8.0600E-6	-8.0600E-6	1.845E-11	1.347E-11	3.515E-8	9.446E-8	  -19.9804	    8.2007	    0.1524	  -60.6467	
 -710.0000	-8.1300E-6	-8.1300E-6	1.830E-11	1.346E-11	3.443E-8	9.193E-8	  -19.9830	    8.2248	    0.1565	  -60.4301	
 -720.0000	-8.2100E-6	-8.2100E-6	1.816E-11	1.345E-11	3.372E-8	8.933E-8	  -19.9931	    8.2162	    0.1546	  -60.5282	
 -730.0000	-8.2200E-6	-8.2200E-6	1.801E-11	1.344E-11	3.304E-8	8.641E-8	  -20.0109	    8.1865	    0.1512	  -60.7178	
 -740.0000	-8.3200E-6	-8.3200E-6	1.787E-11	1.343E-11	3.239E-8	8.404E-8	  -20.0109	    8.2078	    0.1543	  -60.5482	
 -750.0000	-8.4000E-6	-8.4000E-6	1.774E-11	1.343E-11	3.178E-8	8.190E-8	  -20.0059	    8.2119	    0.1410	  -61.2333	
 -760.0000	-8.4800E-6	-8.4800E-6	1.759E-11	1.342E-11	3.117E-8	7.937E-8	  -20.0033	    8.2281	    0.1531	  -60.6007	
 -770.0000	-8.5600E-6	-8.5600E-6	1.747E-11	1.341E-11	3.049E-8	7.701E-8	  -20.0033	    8.2201	    0.1524	  -60.6366	
 -780.0000	-8.6200E-6	-8.6200E-6	1.733E-11	1.340E-11	2.989E-8	7.450E-8	  -20.0059	    8.1890	    0.1509	  -60.7326	
 -790.0000	-8.7100E-6	-8.7100E-6	1.719E-11	1.339E-11	2.932E-8	7.239E-8	  -20.0109	    8.2104	    0.1486	  -60.8345	
 -800.0000	-8.7900E-6	-8.7900E-6	1.707E-11	1.339E-11	2.872E-8	7.042E-8	  -20.0008	    8.2230	    0.1423	  -61.1596	
 -810.0000	-8.8700E-6	-8.8700E-6	1.692E-11	1.338E-11	2.807E-8	6.815E-8	  -20.0008	    8.2553	    0.1480	  -60.8438	
 -820.0000	-8.9700E-6	-8.9700E-6	1.681E-11	1.337E-11	2.764E-8	6.614E-8	  -19.9855	    8.1853	    0.1499	  -60.7827	
 -830.0000	-9.0200E-6	-9.0200E-6	1.666E-11	1.337E-11	2.691E-8	6.375E-8	  -19.9931	    8.1907	    0.1584	  -60.3554	
 -840.0000	-9.1100E-6	-9.1100E-6	1.656E-11	1.336E-11	2.640E-8	6.177E-8	  -20.0008	    8.1881	    0.1458	  -60.9936	
 -850.0000	-9.1900E-6	-9.1900E-6	1.643E-11	1.335E-11	2.586E-8	5.978E-8	  -19.9957	    8.1871	    0.1452	  -61.0273	
 -860.0000	-9.2200E-6	-9.2200E-6	1.630E-11	1.335E-11	2.527E-8	5.818E-8	  -20.0033	    8.1694	    0.1556	  -60.5057	
 -870.0000	-9.3500E-6	-9.3500E-6	1.617E-11	1.334E-11	2.473E-8	5.625E-8	  -20.0135	    8.2154	    0.1512	  -60.7028	
 -880.0000	-9.4200E-6	-9.4200E-6	1.606E-11	1.333E-11	2.418E-8	5.417E-8	  -20.0160	    8.1723	    0.1512	  -60.7252	
 -890.0000	-9.4600E-6	-9.4600E-6	1.595E-11	1.333E-11	2.364E-8	5.243E-8	  -20.0084	    8.1583	    0.1474	  -60.9268	
 -900.0000	-9.5800E-6	-9.5800E-6	1.583E-11	1.332E-11	2.302E-8	5.087E-8	  -20.0008	    8.1899	    0.1546	  -60.5418	
 -910.0000	-9.6300E-6	-9.6300E-6	1.571E-11	1.331E-11	2.251E-8	4.886E-8	  -20.0135	    8.1907	    0.1622	  -60.1734	
 -920.0000	-9.7300E-6	-9.7300E-6	1.561E-11	1.331E-11	2.208E-8	4.749E-8	  -19.9931	    8.1979	    0.1477	  -60.8899	
 -930.0000	-9.7900E-6	-9.7900E-6	1.549E-11	1.331E-11	2.150E-8	4.589E-8	  -20.0059	    8.1780	    0.1509	  -60.7383	
