GCD Test
Bias: 5000.000000
IV_W30_1030_Chip20
Date/Time: 4/4/2019 2:26:13 PM
Sensor Name: W30_1030_Chip20
Type: P
Annealing Status: Irradiated
Environment: -20C
Tester: Vuong

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
   -1.0000	-3.4030E-7	-3.4040E-7	-3.4020E-7	-3.4020E-7	-3.4040E-7	-3.438070E-7	-3.434822E-7	-3.439564E-7	-3.439395E-7	-3.438498E-7	  -19.9957	    9.6392	    0.2312	  -56.6249	
   -2.0000	-4.6122E-7	-4.6170E-7	-4.6150E-7	-4.6100E-7	-4.6070E-7	-4.619140E-7	-4.616111E-7	-4.624564E-7	-4.623985E-7	-4.611898E-7	  -20.0033	    9.6151	    0.2236	  -56.9047	
   -3.0000	-5.4083E-7	-5.4030E-7	-5.4120E-7	-5.4220E-7	-5.3960E-7	-5.403764E-7	-5.415855E-7	-5.392898E-7	-5.402030E-7	-5.404272E-7	  -20.0109	    9.6033	    0.2233	  -56.9224	
   -4.0000	-6.0485E-7	-6.0580E-7	-6.0380E-7	-6.0470E-7	-6.0510E-7	-6.050923E-7	-6.051721E-7	-6.045576E-7	-6.050736E-7	-6.055660E-7	  -19.9880	    9.6605	    0.2249	  -56.8353	
   -5.0000	-6.6135E-7	-6.6140E-7	-6.6240E-7	-6.6050E-7	-6.6110E-7	-6.610019E-7	-6.604828E-7	-6.607592E-7	-6.615707E-7	-6.611950E-7	  -20.0033	    9.6176	    0.2226	  -56.9373	
   -6.0000	-7.1070E-7	-7.0880E-7	-7.1180E-7	-7.1300E-7	-7.0920E-7	-7.109059E-7	-7.103933E-7	-7.117594E-7	-7.105490E-7	-7.109218E-7	  -19.9982	    9.6271	    0.2207	  -57.0005	
   -7.0000	-7.5742E-7	-7.5500E-7	-7.5810E-7	-7.5950E-7	-7.5710E-7	-7.604116E-7	-7.628341E-7	-7.607886E-7	-7.596075E-7	-7.584164E-7	  -19.9880	    9.6235	    0.2160	  -57.1755	
   -8.0000	-8.0052E-7	-8.0000E-7	-8.0040E-7	-7.9960E-7	-8.0210E-7	-8.011302E-7	-8.006949E-7	-8.024455E-7	-7.990328E-7	-8.023476E-7	  -20.0033	    9.6416	    0.2217	  -56.9585	
   -9.0000	-8.4008E-7	-8.4010E-7	-8.3840E-7	-8.4100E-7	-8.4080E-7	-8.401184E-7	-8.444744E-7	-8.388216E-7	-8.369297E-7	-8.402478E-7	  -19.9957	    9.6170	    0.2217	  -56.9717	
  -10.0000	-8.7750E-7	-8.7640E-7	-8.7820E-7	-8.7750E-7	-8.7790E-7	-8.773752E-7	-8.796529E-7	-8.777421E-7	-8.765115E-7	-8.755944E-7	  -20.0059	    9.6159	    0.2141	  -57.2497	
  -15.0000	-1.0433E-6	-1.0430E-6	-1.0430E-6	-1.0440E-6	-1.0430E-6	-1.045557E-6	-1.045292E-6	-1.045153E-6	-1.044414E-6	-1.047371E-6	  -19.9982	    9.6327	    0.2245	  -56.8615	
  -20.0000	-1.1803E-6	-1.1800E-6	-1.1790E-6	-1.1810E-6	-1.1810E-6	-1.182911E-6	-1.182595E-6	-1.182641E-6	-1.181478E-6	-1.184930E-6	  -19.9982	    9.5715	    0.2128	  -57.3205	
  -25.0000	-1.3027E-6	-1.3020E-6	-1.3040E-6	-1.3030E-6	-1.3020E-6	-1.307580E-6	-1.307862E-6	-1.309670E-6	-1.309160E-6	-1.303630E-6	  -20.0059	    9.6086	    0.2201	  -57.0333	
  -30.0000	-1.4147E-6	-1.4170E-6	-1.4140E-6	-1.4120E-6	-1.4160E-6	-1.420167E-6	-1.420809E-6	-1.412475E-6	-1.425451E-6	-1.421932E-6	  -19.9982	    9.6140	    0.2331	  -56.5730	
  -35.0000	-1.5185E-6	-1.5230E-6	-1.5220E-6	-1.5150E-6	-1.5140E-6	-1.521065E-6	-1.515802E-6	-1.520098E-6	-1.522100E-6	-1.526260E-6	  -19.9906	    9.6019	    0.2106	  -57.3873	
  -40.0000	-1.6127E-6	-1.6120E-6	-1.6120E-6	-1.6150E-6	-1.6120E-6	-1.606434E-6	-1.605844E-6	-1.603439E-6	-1.609361E-6	-1.607092E-6	  -19.9982	    9.6229	    0.2113	  -57.3523	
  -45.0000	-1.7005E-6	-1.7000E-6	-1.7040E-6	-1.6980E-6	-1.7000E-6	-1.702028E-6	-1.699343E-6	-1.700054E-6	-1.706684E-6	-1.702031E-6	  -20.0135	    9.5931	    0.2141	  -57.2619	
  -50.0000	-1.7837E-6	-1.7830E-6	-1.7840E-6	-1.7850E-6	-1.7830E-6	-1.781251E-6	-1.779957E-6	-1.777778E-6	-1.781599E-6	-1.785670E-6	  -20.0135	    9.5785	    0.2226	  -56.9583	
  -55.0000	-1.8675E-6	-1.8680E-6	-1.8720E-6	-1.8640E-6	-1.8660E-6	-1.869137E-6	-1.868554E-6	-1.871381E-6	-1.865226E-6	-1.871388E-6	  -20.0059	    9.5501	    0.2223	  -56.9848	
  -60.0000	-1.9453E-6	-1.9460E-6	-1.9520E-6	-1.9440E-6	-1.9390E-6	-1.937533E-6	-1.933251E-6	-1.936943E-6	-1.943984E-6	-1.935954E-6	  -19.9957	    9.5823	    0.2192	  -57.0818	
  -65.0000	-2.0202E-6	-2.0180E-6	-2.0240E-6	-2.0200E-6	-2.0190E-6	-2.011088E-6	-2.008969E-6	-2.012245E-6	-2.014038E-6	-2.009102E-6	  -19.9982	    9.5391	    0.2214	  -57.0248	
  -70.0000	-2.0942E-6	-2.0960E-6	-2.0940E-6	-2.0920E-6	-2.0950E-6	-2.080657E-6	-2.083651E-6	-2.076547E-6	-2.079684E-6	-2.082746E-6	  -20.0059	    9.5368	    0.2128	  -57.3390	
  -75.0000	-2.1635E-6	-2.1660E-6	-2.1660E-6	-2.1650E-6	-2.1570E-6	-2.146739E-6	-2.148699E-6	-2.145126E-6	-2.147419E-6	-2.145712E-6	  -20.0186	    9.5487	    0.2217	  -57.0083	
  -80.0000	-2.2338E-6	-2.2280E-6	-2.2390E-6	-2.2340E-6	-2.2340E-6	-2.208334E-6	-2.205328E-6	-2.206530E-6	-2.212829E-6	-2.208649E-6	  -19.9880	    9.5659	    0.2128	  -57.3235	
  -85.0000	-2.3022E-6	-2.3020E-6	-2.3080E-6	-2.2980E-6	-2.3010E-6	-2.269310E-6	-2.265319E-6	-2.271322E-6	-2.271435E-6	-2.269166E-6	  -19.9906	    9.4773	    0.2179	  -57.1841	
  -90.0000	-2.3673E-6	-2.3700E-6	-2.3660E-6	-2.3650E-6	-2.3680E-6	-2.325125E-6	-2.327306E-6	-2.324421E-6	-2.321387E-6	-2.327385E-6	  -19.9931	    9.4773	    0.2135	  -57.3473	
  -95.0000	-2.4255E-6	-2.4280E-6	-2.4220E-6	-2.4250E-6	-2.4270E-6	-2.375676E-6	-2.371730E-6	-2.377973E-6	-2.373903E-6	-2.379099E-6	  -19.9982	    9.4586	    0.2176	  -57.2056	
 -100.0000	-2.4910E-6	-2.4920E-6	-2.4900E-6	-2.4910E-6	-2.4910E-6	-2.435323E-6	-2.432271E-6	-2.436427E-6	-2.441666E-6	-2.430928E-6	  -19.9982	    9.4637	    0.2157	  -57.2726	
 -110.0000	-2.6143E-6	-2.6190E-6	-2.6100E-6	-2.6120E-6	-2.6160E-6	-2.532497E-6	-2.531362E-6	-2.527951E-6	-2.532119E-6	-2.538558E-6	  -20.0008	    9.5314	    0.2132	  -57.3302	
 -120.0000	-2.7365E-6	-2.7380E-6	-2.7300E-6	-2.7370E-6	-2.7410E-6	-2.602805E-6	-2.600436E-6	-2.606553E-6	-2.598748E-6	-2.605483E-6	  -19.9880	    9.5178	    0.2116	  -57.3965	
 -130.0000	-2.8573E-6	-2.8610E-6	-2.8590E-6	-2.8550E-6	-2.8540E-6	-2.666129E-6	-2.670108E-6	-2.661364E-6	-2.661330E-6	-2.671714E-6	  -19.9957	    9.4936	    0.2094	  -57.4929	
 -140.0000	-2.9798E-6	-2.9780E-6	-2.9780E-6	-2.9840E-6	-2.9790E-6	-2.734275E-6	-2.739772E-6	-2.727495E-6	-2.732276E-6	-2.737557E-6	  -20.0008	    9.4825	    0.1977	  -57.9538	
 -150.0000	-3.0978E-6	-3.0950E-6	-3.0990E-6	-3.0950E-6	-3.1020E-6	-2.790640E-6	-2.797747E-6	-2.787112E-6	-2.798264E-6	-2.779436E-6	  -20.0135	    9.4825	    0.2106	  -57.4511	
 -160.0000	-3.2103E-6	-3.2100E-6	-3.2090E-6	-3.2060E-6	-3.2160E-6	-2.850949E-6	-2.851721E-6	-2.855496E-6	-2.847982E-6	-2.848598E-6	  -20.0211	    9.4654	    0.2068	  -57.6043	
 -170.0000	-3.3317E-6	-3.3300E-6	-3.3290E-6	-3.3320E-6	-3.3360E-6	-2.923061E-6	-2.922395E-6	-2.920706E-6	-2.921090E-6	-2.928052E-6	  -20.0109	    9.4480	    0.2217	  -57.0623	
 -180.0000	-3.4483E-6	-3.4460E-6	-3.4520E-6	-3.4550E-6	-3.4400E-6	-2.993235E-6	-2.983844E-6	-2.989978E-6	-2.991330E-6	-3.007789E-6	  -20.0135	    9.4456	    0.2163	  -57.2590	
 -190.0000	-3.5648E-6	-3.5640E-6	-3.5650E-6	-3.5670E-6	-3.5630E-6	-3.074681E-6	-3.073591E-6	-3.077599E-6	-3.076200E-6	-3.071333E-6	  -20.0084	    9.4801	    0.2043	  -57.6939	
 -200.0000	-3.6790E-6	-3.6830E-6	-3.6770E-6	-3.6760E-6	-3.6800E-6	-3.133170E-6	-3.128126E-6	-3.136999E-6	-3.128866E-6	-3.138688E-6	  -19.9982	    9.4585	    0.2081	  -57.5597	
 -210.0000	-3.7883E-6	-3.7790E-6	-3.7890E-6	-3.7940E-6	-3.7910E-6	-3.193495E-6	-3.199249E-6	-3.189116E-6	-3.195419E-6	-3.190195E-6	  -19.9855	    9.4295	    0.2119	  -57.4319	
 -220.0000	-3.8895E-6	-3.8950E-6	-3.8810E-6	-3.8920E-6	-3.8900E-6	-3.279644E-6	-3.272752E-6	-3.273943E-6	-3.288810E-6	-3.283073E-6	  -19.9779	    9.4543	    0.2125	  -57.3949	
 -230.0000	-3.9915E-6	-3.9920E-6	-3.9900E-6	-3.9930E-6	-3.9910E-6	-3.338904E-6	-3.344091E-6	-3.337567E-6	-3.342151E-6	-3.331806E-6	  -19.9804	    9.4612	    0.2065	  -57.6187	
 -240.0000	-4.0970E-6	-4.0950E-6	-4.1060E-6	-4.0910E-6	-4.0960E-6	-3.397092E-6	-3.396441E-6	-3.402489E-6	-3.392664E-6	-3.396774E-6	  -19.9906	    9.4169	    0.2113	  -57.4623	
 -250.0000	-4.1897E-6	-4.1940E-6	-4.1880E-6	-4.1900E-6	-4.1870E-6	-3.478493E-6	-3.475497E-6	-3.474871E-6	-3.478570E-6	-3.485033E-6	  -20.0109	    9.4243	    0.2157	  -57.2936	
 -260.0000	-4.2950E-6	-4.2900E-6	-4.3000E-6	-4.2990E-6	-4.2910E-6	-3.557359E-6	-3.559564E-6	-3.563088E-6	-3.555865E-6	-3.550918E-6	  -20.0008	    9.4209	    0.2122	  -57.4246	
 -270.0000	-4.3870E-6	-4.3880E-6	-4.3930E-6	-4.3920E-6	-4.3750E-6	-3.622429E-6	-3.615708E-6	-3.611295E-6	-3.626972E-6	-3.635741E-6	  -20.0084	    9.4503	    0.2122	  -57.4089	
 -280.0000	-4.4773E-6	-4.4790E-6	-4.4810E-6	-4.4740E-6	-4.4750E-6	-3.700046E-6	-3.705041E-6	-3.705193E-6	-3.692217E-6	-3.697735E-6	  -20.0084	    9.4264	    0.2113	  -57.4572	
 -290.0000	-4.5615E-6	-4.5550E-6	-4.5640E-6	-4.5710E-6	-4.5560E-6	-3.790722E-6	-3.781194E-6	-3.790868E-6	-3.790487E-6	-3.800340E-6	  -20.0135	    9.3614	    0.2103	  -57.5276	
 -300.0000	-4.6612E-6	-4.6650E-6	-4.6630E-6	-4.6640E-6	-4.6530E-6	-3.857515E-6	-3.859584E-6	-3.857053E-6	-3.865865E-6	-3.847558E-6	  -20.0033	    9.3505	    0.1961	  -58.0871	
 -310.0000	-4.7628E-6	-4.7600E-6	-4.7680E-6	-4.7570E-6	-4.7660E-6	-3.922581E-6	-3.939365E-6	-3.922128E-6	-3.914997E-6	-3.913832E-6	  -19.9957	    9.3352	    0.2062	  -57.6979	
 -320.0000	-4.8502E-6	-4.8400E-6	-4.8590E-6	-4.8520E-6	-4.8500E-6	-4.004024E-6	-4.007760E-6	-3.995398E-6	-4.008450E-6	-4.004489E-6	  -19.9957	    9.3696	    0.1980	  -58.0011	
 -330.0000	-4.9480E-6	-4.9510E-6	-4.9500E-6	-4.9520E-6	-4.9390E-6	-4.066104E-6	-4.061006E-6	-4.070040E-6	-4.065987E-6	-4.067382E-6	  -19.9906	    9.3793	    0.2097	  -57.5419	
 -340.0000	-5.0333E-6	-5.0320E-6	-5.0230E-6	-5.0380E-6	-5.0400E-6	-4.127659E-6	-4.127891E-6	-4.133543E-6	-4.123486E-6	-4.125715E-6	  -19.9982	    9.3537	    0.1980	  -58.0095	
 -350.0000	-5.1175E-6	-5.1220E-6	-5.1160E-6	-5.1180E-6	-5.1140E-6	-4.197860E-6	-4.202003E-6	-4.198616E-6	-4.187205E-6	-4.203615E-6	  -19.9982	    9.4015	    0.2056	  -57.6869	
